ques,diff
972,10
973,10
974,10
975,5
976,5
977,10
978,3
979,10
980,8
981,5
982,6
983,8
984,8
985,8
986,10
987,6
988,8
989,5
990,10
991,10
992,8
993,8
994,6
995,10
996,5
997,6
998,6
999,8
1000,8
1001,3
1002,6
1003,6
1004,6
1005,9
1006,6
1007,5
1008,7
1009,7
1010,7
1011,5
1012,7
1013,3
1014,8
1015,7
1016,8
1017,2
1018,6
1019,6
1020,7
1021,8
1022,5
1023,7
1024,8
1025,7
1026,8
1027,8
1028,4
1029,6
1030,8
1031,7
1032,4
1033,4
1034,1
1035,8
1036,9
1037,7
1038,6
1039,6
1040,7
1041,6
1042,5
1043,5
1044,6
1045,6
1046,5
1047,5
1048,7
1049,5
1050,4
1051,5
1052,6
1053,6
1054,8
1055,4
1056,5
1057,6
1058,4
1059,6
1060,4
1061,6
1062,6
1063,6
1064,6
1065,6
1066,6
1067,5
1068,6
1069,6
1070,5
1071,7
1072,5
1073,5
1074,6
1075,7
1076,6
1077,6
1078,7
1079,7
1080,7
1081,7
1082,6
1083,7
1084,4
1085,7
1086,7
1087,6
1088,9
1089,5
1090,6
1091,5
1092,6
1093,5
1094,6
1095,7
1096,6
1097,6
1098,6
1099,5
1100,7
1101,7
1102,6
1103,6
1104,8
1105,7
1106,5
1107,8
1108,4
1109,5
1110,6
1111,5
1112,6
1113,2
1114,8
1115,7
1116,6
1117,8
1118,7
1119,5
1120,6
1121,7
1122,5
1123,8
1124,7
1125,5
1126,7
1127,4
1128,3
1129,6
1130,7
1131,8
1132,6
1133,7
1134,8
1135,5
1136,9
1137,6
1138,9
1139,6
1140,4
1141,5
1142,6
1143,7
1144,6
1145,6
1146,6
1147,8
1148,8
1149,5
1150,7
1151,7
1152,7
1153,7
1154,7
1155,3
1156,2
1157,2
1158,5
1159,4
1160,4
1161,7
1162,4
1163,8
1164,7
1165,7
1166,5
1167,7
1168,5
1169,6
1170,7
1171,6
1172,5
1173,5
1174,6
1175,5
1176,7
1177,7
1178,7
1179,7
1180,7
1181,7
1182,5
1183,8
1184,6
1185,6
1186,6
1187,7
1188,4
1189,6
1190,5
1191,2
1192,6
1193,6
1194,4
1195,7
1196,6
1197,4
1198,7
1199,6
1200,6
1201,7
1202,3
1203,4
1204,8
1205,8
1206,5
1207,6
1208,7
1209,10
1210,8
1211,1
1212,10
1213,2
1214,8
1215,6
1216,7
1217,6
1218,4
1219,6
1220,6
1221,6
1222,6
1223,5
1224,7
1225,5
1226,4
1227,5
1228,4
1229,4
1230,7
1231,5
1232,6
1233,6
1234,1
1235,6
1236,5
1237,6
1238,6
1239,7
1240,5
1241,5
1242,5
1243,6
1244,5
1245,4
1246,6
1247,4
1248,6
1249,8
1250,8
1251,6
1252,4
1253,5
1254,4
1255,5
1256,5
1257,5
1258,8
1259,6
1260,3
1261,8
1262,4
1263,8
1264,5
1265,5
1266,7
1267,5
1268,1
1269,7
1270,6
1271,7
1272,6
1273,5
1274,8
1275,7
1276,5
1277,6
1278,7
1279,6
1280,5
1281,6
1282,8
1283,8
1284,7
1285,2
1286,8
1287,6
1288,8
1289,6
1290,7
1291,8
1292,8
1293,5
1294,6
1295,7
1296,6
1297,5
1298,4
1299,3
1300,7
1301,9
1302,6
1303,9
1304,5
1305,5
1306,10
1307,5
1308,6
1309,9
1310,6
1311,4
1312,9
1313,6
1314,6
1315,6
1316,7
1317,5
1318,9
1319,7
1320,6
1321,7
1322,5
1323,4
1324,7
1325,7
1326,7
1327,7
1328,8
1329,5
1330,8
1331,7
1332,6
1333,6
1334,3
1335,8
1336,7
1337,4
1338,5
1339,7
1340,5
1341,5
1342,8
1343,5
1344,8
1345,7
1346,8
1347,5
1348,5
1349,8
1350,5
1351,8
1352,7
1353,8
1354,4
1355,7
1356,9
1357,9
1358,5
1359,5
1360,7
1361,4
1362,7
1363,9
1364,6
1365,6
1366,6
1367,7
1368,7
1369,7
1370,5
1371,9
1372,6
1373,6
1374,5
1375,7
1376,3
1377,4
1378,7
1379,7
1380,6
1381,7
1382,2
1383,8
1384,9
1385,10
1386,7
1387,7
1388,8
1389,6
1390,7
1391,7
1392,7
1393,6
1394,4
1395,7
1396,5
1397,6
1398,9
1399,5
1400,4
1401,6
1402,7
1403,9
1404,5
1405,5
1406,5
1407,8
1408,10
1409,9
1410,8
1411,6
1412,4
1413,7
1414,7
1415,3
1416,9
1417,7
1418,5
1419,5
1420,10
1421,10
1422,8
1423,8
1424,8
1425,5
1426,6
1427,6
1428,4
1429,9
1430,5
1431,5
1432,5
1433,5
1434,4
1435,4
1436,8
1437,5
1438,4
1439,5
1440,6
1441,5
1442,9
1443,3
1444,6
1445,8
1446,10
1447,7
1448,5
1449,7
1450,5
1451,7
1452,6
1453,4
1454,8
1455,4
1456,4
1457,6
1458,4
1459,7
1460,6
1461,7
1462,4
1463,10
1464,5
1465,6
1466,3
1467,6
1468,7
1469,3
1470,7
1471,6
1472,5
1473,7
1474,7
1475,4
1476,6
1477,6
1478,4
1479,7
1480,9
1481,6
1482,4
1483,6
1484,9
1485,8
1486,8
1487,4
1488,8
1489,8
1490,9
1491,6
1492,6
1493,5
1494,6
1495,5
1496,7
1497,7
1498,3
1499,5
1500,7
1501,8
1502,5
1503,7
1504,6
1505,8
1506,7
1507,8
1508,5
1509,8
1510,5
1511,10
1512,10
1513,5
1514,5
1515,7
1516,6
1517,5
1518,10
1519,9
1520,9
1521,4
1522,5
1523,8
1524,8
1525,6
1526,5
1527,6
1528,7
1529,5
1530,5
1531,6
1532,8
1533,8
1534,5
1535,7
1536,5
1537,8
1538,4
1539,6
1540,8
1541,3
1542,7
1543,6
1544,4
1545,5
1546,9
1547,6
1548,6
1549,6
1550,9
1551,6
1552,7
1553,8
1554,8
1555,3
1556,7
1557,7
1558,3
1559,10
1560,6
1561,10
1562,10
1563,8
1564,5
1565,6
1566,8
1567,6
1568,10
1569,5
1570,8
1571,4
1572,6
1573,6
1574,8
1575,1
1576,8
1577,8
1578,5
1579,6
1580,7
1581,4
1582,8
1583,5
1584,6
1585,7
1586,9
1587,6
1588,5
1589,7
1590,8
1591,9
1592,7
1593,5
1594,5
1595,4
1596,6
1597,6
1598,3
1599,8
1600,8
1601,6
1602,4
1603,6
1604,6
1605,6
1606,4
1607,9
1608,4
1609,8
1610,10
1611,9
1612,8
1613,10
1614,9
1615,7
1616,3
1617,8
1618,8
1619,9
1620,8
1621,7
1622,6
1623,7
1624,10
1625,5
1626,2
1627,5
1628,8
1629,10
1630,5
1631,7
1632,10
1633,1
1634,10
1635,9
1636,7
1637,9
1638,10
1639,9
1640,6
1641,9
1642,8
1643,6
1644,10
1645,8
1646,5
1647,8
1648,9
1649,8
1650,8
1651,10
1652,8
1653,8
1654,10
1655,6
1656,8
1657,9
1658,7
1659,10
1660,7
1661,8
1662,10
1663,6
1664,6
1665,8
1666,10
1667,8
1668,8
1669,6
1670,8
1671,10
1672,6
1673,8
1674,8
1675,7
1676,10
1677,8
1678,7
1679,7
1680,10
1681,8
1682,8
1683,6
1684,5
1685,6
1686,8
1687,7
1688,8
1689,8
1690,8
1691,4
1692,8
1693,5
1694,7
1695,9
1696,8
1697,7
1698,8
1699,6
1700,7
1701,5
1702,6
1703,3
1704,5
1705,8
1706,8
1707,8
1708,7
1709,8
1710,6
1711,7
1712,10
1713,8
1714,6
1715,10
1716,8
1717,5
1718,0
1719,7
1720,6
1721,7
1722,10
1723,8
1724,6
1725,6
1726,6
1727,7
1728,6
1729,6
1730,10
1731,6
1732,6
1733,7
1734,8
1735,7
1736,9
1737,10
1738,5
1739,4
1740,5
1741,7
1742,4
1743,6
1744,6
1745,10
1746,7
1747,8
1748,4
1749,3
1750,6
1751,5
1752,3
1753,3
1754,4
1755,6
1756,7
1757,7
1758,7
1759,6
1760,4
1761,8
1762,5
1763,7
1764,6
1765,5
1766,8
1767,8
1768,6
1769,8
1770,5
1771,0
1772,3
1773,3
1774,3
1775,5
1776,5
1777,3
1778,10
1779,5
1780,4
1781,6
1782,6
1783,6
1784,8
1785,8
1786,6
1787,7
1788,10
1789,7
1790,5
1791,4
1792,0
1793,7
1794,5
1795,6
1796,5
1797,5
1798,7
1799,4
1800,0
1801,10
1802,5
1803,4
1804,5
1805,4
1806,8
1807,5
1808,2
1809,2
1810,4
1811,3
1812,4
1813,5
1814,5
1815,4
1816,10
1817,5
1818,5
1819,5
1820,2
1821,8
1822,8
1823,5
1824,3
1825,3
1826,4
1827,10
1828,2
1829,2
1830,8
1831,10
1832,8
1833,10
1834,6
1835,5
1836,6
1837,5
1838,4
1839,4
1840,1
1841,7
1842,10
1843,4
1844,3
1845,5
1846,3
1847,3
1848,5
1849,2
1850,5
1851,5
1852,6
1853,5
1854,5
1855,7
1856,5
1857,3
1858,5
1859,8
1860,6
1861,4
1862,6
1863,6
1864,7
1865,6
1866,6
1867,9
1868,8
1869,5
1870,6
1871,6
1872,8
1873,5
1874,8
1875,8
1876,5
1877,10
1878,10
1879,5
1880,6
1881,6
1882,5
1883,2
1884,4
1885,8
1886,5
1887,1
1888,3
1889,6
1890,5
1891,5
1892,6
1893,0
1894,4
1895,0
1896,7
1897,7
1898,8
1899,7
1900,8
1901,8
1902,7
1903,6
1904,8
1905,7
1906,8
1907,9
1908,5
1909,7
1910,7
1911,8
1912,6
1913,7
1914,8
1915,8
1916,5
1917,7
1918,7
1919,5
1920,7
1921,8
1922,8
1923,7
1924,5
1925,7
1926,7
1927,7
1928,9
1929,7
1930,5
1931,9
1932,7
1933,6
1934,3
1935,5
1936,8
1937,10
1938,5
1939,8
1940,8
1941,8
1942,8
1943,5
1944,5
1945,5
1946,6
1947,6
1948,6
1949,5
1950,7
1951,0
1952,8
1953,5
1954,7
1955,4
1956,8
1957,5
1958,6
1959,8
1960,7
1961,1
1962,8
1963,3
1964,4
1965,7
1966,5
1967,4
1968,4
1969,4
1970,6
1971,8
1972,1
1973,7
1974,6
1975,5
1976,7
1977,7
1978,8
1979,8
1980,5
1981,6
1982,8
1983,5
1984,3
1985,8
1986,7
1987,10
1988,6
1989,5
1990,7
1991,9
1992,8
1993,6
1994,6
1995,6
1996,8
1997,8
1998,8
1999,2
2000,7
2001,2
2002,3
2003,6
2004,4
2005,6
2006,7
2007,8
2008,7
2009,7
2010,8
2011,5
2012,6
2013,7
2014,4
2015,7
2016,4
2017,8
2018,9
2019,9
2020,10
2021,10
2022,5
2023,10
2024,6
2025,8
2026,8
2027,10
2028,5
2029,4
2030,10
2031,7
2032,10
2033,6
2034,0
2035,8
2036,6
2037,5
2038,10
2039,10
2040,10
2041,7
2042,5
2043,8
2044,8
2045,5
2046,5
2047,8
2048,7
2049,10
2050,9
2051,8
2052,8
2053,9
2054,10
2055,8
2056,7
2057,5
2058,6
2059,10
2060,6
2061,10
2062,6
2063,9
2064,10
2065,10
2066,10
2067,10
2068,8
2069,0
2070,10
2071,10
2072,10
2073,10
2074,8
2075,8
2076,8
2077,8
2078,10
2079,2
2080,5
2081,10
2082,10
2083,10
2084,8
2085,5
2086,8
2087,8
2088,6
2089,2
2090,7
2091,10
2092,10
2093,10
2094,6
2095,7
2096,7
2097,4
2098,7
2099,8
2100,7
2101,10
2102,5
2103,7
2104,5
2105,8
2106,3
2107,8
2108,8
2109,6
2110,4
2111,8
2112,7
2113,10
2114,5
2115,8
2116,5
2117,8
2118,7
2119,8
2120,9
2121,7
2122,9
2123,5
2124,10
2125,7
2126,9
2127,8
2128,3
2129,8
2130,7
2131,8
2132,7
2133,5
2134,8
2135,3
2136,7
2137,4
2138,7
2139,7
2140,8
2141,8
2142,8
2143,7
2144,10
2145,10
2146,7
2147,10
2148,5
2149,10
2150,8
2151,6
2152,10
2153,7
2154,5
2155,10
2156,6
2157,1
2158,6
2159,7
2160,10
2161,9
2162,10
2163,8
2164,7
2165,7
2166,7
2167,5
2168,10
2169,9
2170,6
2171,8
2172,6
2173,5
2174,8
2175,7
2176,6
2177,8
2178,6
2179,5
2180,6
2181,6
2182,5
2183,6
2184,5
2185,8
2186,7
2187,9
2188,9
2189,10
2190,5
2191,8
2192,10
2193,5
2194,7
2195,10
2196,10
2197,8
2198,6
2199,6
2200,2
2201,9
2202,10
2203,8
2204,10
2205,5
2206,7
2207,9
2208,7
2209,8
2210,2
2211,8
2212,10
2213,5
2214,2
2215,10
2216,1
2217,6
2218,9
2219,2
2220,6
2221,7
2222,7
2223,10
2224,6
2225,2
2226,9
2227,5
2228,10
2229,9
2230,10
2231,7
2232,8
2233,2
2234,4
2235,8
2236,8
2237,9
2238,7
2239,6
2240,10
2241,5
2242,8
2243,10
2244,8
2245,3
2246,9
2247,6
2248,5
2249,6
2250,9
2251,10
2252,5
2253,2
2254,7
2255,6
2256,6
2257,8
2258,8
2259,4
2260,8
2261,9
2262,8
2263,8
2264,6
2265,10
2266,9
2267,7
2268,10
2269,8
2270,10
2271,5
2272,7
2273,7
2274,5
2275,8
2276,9
2277,8
2278,5
2279,8
2280,8
2281,4
2282,7
2283,4
2284,4
2285,2
2286,6
2287,2
2288,4
2289,10
2290,10
2291,3
2292,7
2293,9
2294,8
2295,9
2296,10
2297,10
2298,8
2299,8
2300,9
2301,7
2302,8
2303,4
2304,7
2305,8
2306,10
2307,8
2308,8
2309,8
2310,8
2311,10
2312,7
2313,5
2314,6
2315,4
2316,6
2317,6
2318,8
2319,7
2320,7
2321,6
2322,10
2323,8
2324,5
2325,6
2326,6
2327,9
2328,6
2329,7
2330,10
2331,7
2332,7
2333,8
2334,8
2335,8
2336,8
2337,5
2338,6
2339,7
2340,5
2341,5
2342,9
2343,8
2344,10
2345,10
2346,10
2347,7
2348,4
2349,6
2350,6
2351,10
2352,8
2353,10
2354,10
2355,10
2356,10
2357,8
2358,9
2359,8
2360,6
2361,4
2362,5
2363,6
2364,8
2365,6
2366,7
2367,5
2368,8
2369,10
2370,8
2371,3
2372,6
2373,4
2374,2
2375,10
2376,10
2377,8
2378,7
2379,6
2380,6
2381,5
2382,6
2383,8
2384,6
2385,7
2386,10
2387,8
2388,7
2389,10
2390,7
2391,7
2392,7
2393,7
2394,6
2395,3
2396,6
2397,6
2398,3
2399,7
2400,3
2401,3
2402,6
2403,5
2404,4
2405,8
2406,4
2407,0
2408,8
2409,7
2410,8
2411,7
2412,8
2413,9
2414,9
2415,6
2416,5
2417,8
2418,8
2419,8
2420,6
2421,4
2422,7
2423,7
2424,5
2425,5
2426,8
2427,6
2428,10
2429,7
2430,7
2431,8
2432,8
2433,8
2434,5
2435,10
2436,6
2437,5
2438,7
2439,6
2440,8
2441,4
2442,7
2443,7
2444,6
2445,8
2446,8
2447,6
2448,7
2449,7
2450,8
2451,7
2452,5
2453,7
2454,7
2455,10
2456,5
2457,8
2458,7
2459,10
2460,10
2461,6
2462,7
2463,5
2464,8
2465,8
2466,7
2467,4
2468,8
2469,5
2470,8
2471,5
2472,8
2473,7
2474,6
2475,6
2476,4
2477,7
2478,7
2479,10
2480,6
2481,7
2482,10
2483,7
2484,6
2485,7
2486,6
2487,9
2488,7
2489,8
2490,9
2491,9
2492,8
2493,4
2494,6
2495,6
2496,7
2497,5
2498,6
2499,6
2500,9
2501,8
2502,7
2503,3
2504,5
2505,2
2506,6
2507,2
2508,3
2509,3
2510,8
2511,7
2512,7
2513,6
2514,4
2515,5
2516,6
2517,2
2518,3
2519,6
2520,1
2521,1
2522,5
2523,4
2524,7
2525,2
2526,1
2527,8
2528,5
2529,6
2530,7
2531,5
2532,6
2533,7
2534,5
2535,7
2536,8
2537,3
2538,7
2539,3
2540,6
2541,3
2542,6
2543,4
2544,7
2545,6
2546,8
2547,8
2548,8
2549,10
2550,8
2551,9
2552,7
2553,8
2554,8
2555,4
2556,5
2557,7
2558,7
2559,6
2560,5
2561,6
2562,4
2563,3
2564,5
2565,8
2566,5
2567,5
2568,8
2569,8
2570,8
2571,7
2572,5
2573,6
2574,7
2575,4
2576,10
2577,6
2578,6
2579,2
2580,2
2581,5
2582,5
2583,5
2584,5
2585,7
2586,6
2587,7
2588,6
2589,8
2590,10
2591,7
2592,10
2593,7
2594,4
2595,4
2596,7
2597,6
2598,4
2599,6
2600,6
2601,10
2602,8
2603,7
2604,8
2605,8
2606,5
2607,8
2608,6
2609,5
2610,5
2611,0
2612,10
2613,6
2614,8
2615,8
2616,8
2617,5
2618,7
2619,3
2620,6
2621,3
2622,8
2623,8
2624,2
2625,10
2626,7
2627,6
2628,7
2629,10
2630,7
2631,8
2632,5
2633,6
2634,10
2635,8
2636,5
2637,5
2638,6
2639,9
2640,6
2641,7
2642,4
2643,4
2644,8
2645,8
2646,8
2647,5
2648,6
2649,1
2650,5
2651,8
2652,8
2653,6
2654,6
2655,7
2656,6
2657,7
2658,7
2659,5
2660,4
2661,10
2662,7
2663,8
2664,9
2665,8
2666,6
2667,7
2668,7
2669,6
2670,7
2671,7
2672,9
2673,10
2674,8
2675,8
2676,5
2677,5
2678,8
2679,7
2680,6
2681,6
2682,6
2683,6
2684,8
2685,10
2686,5
2687,8
2688,9
2689,10
2690,6
2691,6
2692,10
2693,6
2694,8
2695,8
2696,6
2697,7
2698,7
2699,5
2700,5
2701,7
2702,2
2703,7
2704,7
2705,6
2706,10
2707,6
2708,6
2709,10
2710,6
2711,7
2712,8
2713,9
2714,3
2715,7
2716,10
2717,4
2718,8
2719,6
2720,6
2721,7
2722,6
2723,5
2724,6
2725,6
2726,5
2727,5
2728,10
2729,4
2730,8
2731,10
2732,8
2733,7
2734,5
2735,7
2736,9
2737,8
2738,10
2739,7
2740,10
2741,9
2742,8
2743,6
2744,7
2745,2
2746,5
2747,4
2748,7
2749,10
2750,8
2751,8
2752,9
2753,4
2754,10
2755,8
2756,6
2757,10
2758,6
2759,4
2760,10
2761,5
2762,6
2763,6
2764,5
2765,6
2766,10
2767,8
2768,7
2769,6
2770,8
2771,6
2772,6
2773,8
2774,8
2775,10
2776,6
2777,8
2778,10
2779,6
2780,7
2781,6
2782,8
2783,6
2784,7
2785,6
2786,7
2787,7
2788,8
2789,4
2790,7
2791,8
2792,6
2793,7
2794,7
2795,7
2796,6
2797,6
2798,6
2799,7
2800,5
2801,5
2802,7
2803,8
2804,7
2805,8
2806,10
2807,10
2808,8
2809,3
2810,10
2811,9
2812,8
2813,5
2814,10
2815,8
2816,9
2817,9
2818,2
2819,7
2820,6
2821,4
2822,4
2823,5
2824,5
2825,6
2826,7
2827,7
2828,3
2829,5
2830,8
2831,10
2832,8
2833,8
2834,7
2835,6
2836,4
2837,9
2838,5
2839,5
2840,7
2841,9
2842,5
2843,8
2844,10
2845,9
2846,8
2847,9
2848,7
2849,4
2850,4
2851,7
2852,8
2853,6
2854,8
2855,6
2856,8
2857,8
2858,9
2859,7
2860,8
2861,7
2862,9
2863,5
2864,9
2865,10
2866,4
2867,8
2868,6
2869,6
2870,5
2871,4
2872,6
2873,6
2874,6
2875,8
2876,4
2877,8
2878,4
2879,8
2880,8
2881,5
2882,3
2883,4
2884,3
2885,5
2886,10
2887,8
2888,8
2889,10
2890,8
2891,8
2892,3
2893,7
2894,5
2895,7
2896,6
2897,3
2898,8
2899,7
2900,7
2901,10
2902,8
2903,10
2904,5
2905,5
2906,9
2907,10
2908,9
2909,9
2910,6
2911,8
2912,4
2913,9
2914,8
2915,7
2916,5
2917,5
2918,4
2919,4
2920,5
2921,6
2922,7
2923,4
2924,5
2925,6
2926,8
2927,8
2928,7
2929,8
2930,6
2931,3
2932,3
2933,6
2934,8
2935,8
2936,8
2937,8
2938,10
2939,9
2940,7
2941,6
2942,10
2943,7
2944,7
2945,10
2946,6
2947,5
2948,6
2949,8
2950,5
2951,8
2952,10
2953,5
2954,5
2955,5
2956,6
2957,5
2958,8
2959,6
2960,8
2961,7
2962,5
2963,4
2964,5
2965,9
2966,3
2967,3
2968,3
2969,2
2970,5
2971,8
2972,5
2973,1
2974,6
2975,7
2976,10
2977,5
2978,8
2979,10
2980,3
2981,6
2982,8
2983,3
2984,8
2985,2
2986,3
2987,3
2988,6
2989,8
2990,8
2991,7
2992,5
2993,4
2994,8
2995,4
2996,1
