ques,type
10934,0
8973,0
14436,0
12475,0
2322,0
3689,0
1728,0
10653,0
10059,0
13561,0
3408,0
1463,0
6670,0
9371,2
846,2
10468,1
14985,0
158,0
7756,0
5795,0
4931,1
10434,0
8473,0
9840,0
11705,1
3973,0
1244,0
7475,0
5514,0
6611,1
15399,2
556,2
11264,0
9575,0
12821,0
2924,0
4465,0
11255,0
8270,0
14501,0
12796,0
3754,0
1793,0
7256,0
5311,0
8677,2
14314,2
10124,0
1608,1
13626,0
3473,0
744,0
15587,0
13009,2
6303,2
9075,0
15306,0
12321,0
2424,0
479,0
1590,0
7821,0
6116,0
10499,0
11866,0
9905,0
13423,0
3270,0
1309,0
6772,0
4811,0
11585,0
15103,0
13142,0
6491,0
4530,0
5641,0
10280,0
8335,0
14822,0
13972,0
4075,0
1090,0
7321,0
5616,0
3202,2
11382,0
9421,0
15652,0
12923,0
2770,0
2153,2
11101,0
9140,0
12642,0
2489,0
3600,0
1911,0
8142,0
4293,1
9819,2
10226,0
15433,0
13472,0
3335,0
606,0
6837,0
4876,0
9353,2
2903,2
11650,0
8921,0
15152,0
13207,0
2286,0
12153,1
6556,0
5962,0
2437,2
10601,0
8640,0
9767,0
14293,0
3116,0
7642,0
4657,0
12048,2
9335,2
7025,2
11447,0
9486,0
14949,0
12988,0
106,0
6337,0
4376,0
5759,0
11166,0
8437,0
14668,0
12707,0
14074,0
3921,0
1960,0
7183,0
5478,0
14915,1
9884,2
12252,0
9267,0
15498,0
671,0
7158,0
4173,0
7405,1
10947,0
8986,0
13352,1
12488,0
14449,0
1757,0
6027,0
10259,2
15032,1
10666,0
11777,0
10072,0
13334,0
3437,0
1476,0
6683,0
2317,1
5225,1
9384,2
6251,2
11752,0
8783,0
171,0
7769,0
5808,0
10463,0
14733,0
14139,0
3986,0
1257,0
7488,0
5543,0
11981,2
13522,2
6800,2
11293,0
9588,0
12834,0
2937,0
4238,0
11012,0
8283,0
14514,0
12553,0
13920,0
3783,0
1822,0
7285,0
5324,0
15600,0
13655,0
12791,1
5043,0
10793,0
15335,0
2197,0
492,0
7834,0
6129,0
8400,2
10512,0
11895,0
13436,0
3283,0
1322,0
4824,0
9317,2
4136,2
9653,0
11614,0
14860,0
3002,0
17,0
6504,0
5670,0
14428,2
8038,2
10309,0
8348,0
14835,0
13985,0
4088,0
1119,0
5389,0
9866,2
3400,2
2536,1
9434,0
15665,0
13704,0
5204,1
7069,0
4340,0
11731,2
11114,0
9153,0
14360,0
12671,0
2518,0
3629,0
1668,0
8155,0
10241,2
11361,1
9832,2
11944,0
9999,0
15462,0
13501,0
3348,0
619,0
6850,0
4889,0
955,2
8950,0
1202,1
13220,0
2299,0
338,0
6569,0
7680,0
5991,0
15181,0
13899,2
10374,0
8669,0
9780,0
10877,1
3129,0
7671,0
4686,0
11460,0
9499,0
14962,0
13001,0
2848,0
6366,0
4405,0
11179,0
8194,0
14681,0
12720,0
13847,0
3950,0
1989,0
7196,0
5491,0
8601,2
12265,0
9280,0
15527,0
2645,0
684,0
6915,0
4186,0
9616,2
9015,0
15246,0
12517,0
2364,0
403,0
1770,0
8001,0
6040,0
10695,0
10101,0
13347,0
3450,0
1489,0
6696,0
12213,2
3697,1
11525,0
8796,0
1048,1
13066,0
15027,0
184,0
6431,0
7798,0
5837,0
13313,1
4973,1
11340,1
10476,0
8515,0
14746,0
14152,0
4015,0
7517,0
5556,0
11923,2
11306,0
12863,0
2710,0
1005,0
4251,0
11713,2
2093,2
7915,2
8296,0
11025,0
12582,0
3796,0
1835,0
5337,0
12127,0
10166,0
15373,0
13668,0
3515,0
530,0
9549,2
937,2
10822,0
8861,0
15348,0
12363,0
1616,0
7863,0
3481,1
5902,0
10541,0
9947,0
14217,0
3296,0
1351,0
7582,0
4853,0
9330,2
12329,1
11627,0
14873,0
13168,0
3031,0
46,0
6277,0
4572,0
2343,2
7980,2
8361,0
10322,0
14014,0
1132,0
7363,0
2997,1
5402,0
10729,2
6675,2
12176,0
9463,0
13733,0
851,0
7082,0
4097,0
2124,2
10887,0
9182,0
12428,0
2531,0
3642,0
1681,0
4936,1
8168,0
8565,2
10012,0
6616,1
13514,0
15475,0
632,0
6879,0
5165,1
9580,2
968,2
11692,0
8707,0
15194,0
7462,1
13233,0
367,0
7709,0
6004,0
10387,0
8682,0
9793,0
1197,0
7428,0
4699,0
13030,0
2877,0
916,0
6379,0
4418,0
1163,1
11192,0
3460,1
8223,0
12749,0
11455,1
13860,0
2002,0
7209,0
14710,0
11887,2
9062,1
12038,0
15540,0
13579,0
2658,0
4215,0
6496,2
10989,0
9028,0
15259,0
12530,0
416,0
1543,0
6069,0
8340,2
7413,2
10708,0
2960,1
13360,0
3223,0
1518,0
6725,0
4764,0
645,2
2791,2
11538,0
8809,0
15040,0
13095,0
213,0
6444,0
4483,0
5850,0
10489,0
1043,0
7530,0
5569,0
11936,2
611,2
14590,1
10471,1
2723,0
1018,0
6225,0
4264,0
11054,0
9093,0
14556,0
12595,0
2442,0
3809,0
1848,0
8095,0
5366,0
6207,1
12140,0
10179,0
13681,0
3528,0
6790,0
5085,0
9562,2
10588,1
10835,0
8874,0
15105,0
12376,0
2239,0
278,0
1645,0
7876,0
5915,0
5298,2
14920,1
10554,0
2822,1
8593,0
9960,0
14246,0
1364,0
7595,0
4610,0
6137,1
676,2
12694,1
11640,0
9695,0
14902,0
12941,0
6290,0
4585,0
5696,0
2356,2
395,2
10351,0
8390,0
14621,0
14027,0
1145,0
5431,0
12205,0
9220,0
13746,0
2569,0
5246,1
7111,0
1127,1
5397,1
8788,2
6494,2
12020,1
6423,2
10900,0
9195,0
12441,0
2544,0
12171,1
1710,0
7941,0
8507,2
13280,1
10025,0
13543,0
3390,0
1429,0
6892,0
6204,2
8720,0
7722,0
5761,0
10400,0
8455,0
6170,1
14092,0
1210,0
7441,0
4712,0
11934,2
593,2
3507,2
11502,0
9541,0
13043,0
6392,0
4447,0
15340,2
11221,0
8236,0
14467,0
12762,0
5030,1
3720,0
2031,0
7238,0
5277,0
13873,0
11900,2
15553,0
13592,0
2687,0
726,0
6957,0
14643,0
11002,0
9041,0
15272,0
12303,0
2406,0
445,0
1556,0
8043,0
6082,0
14077,2
7170,2
10721,0
11832,0
4,1
13389,0
3236,0
1531,0
6738,0
12168,2
11567,0
9606,0
15069,0
13108,0
2955,0
226,0
4496,0
5879,0
10262,0
8557,0
14788,0
14194,0
4041,0
1056,0
7303,0
5598,0
11348,0
9387,0
15618,0
12889,0
2736,0
2048,2
11067,0
9106,0
14569,0
12608,0
2471,0
3838,0
1877,0
8108,0
5123,0
10192,0
3557,0
5345,1
10848,0
8903,0
15134,0
12405,0
2252,0
291,0
1658,0
7889,0
5928,0
14517,2
3770,2
10583,0
8622,0
9733,0
14259,0
1377,0
7608,0
4639,0
11413,0
9708,0
12954,0
3057,0
72,0
6319,0
4358,0
5725,0
15322,2
408,2
10364,0
2616,1
14634,0
12673,0
14040,0
3903,0
5444,0
11882,2
3215,2
12218,0
390,1
9233,0
13775,0
2598,0
7124,0
4139,0
3869,1
10913,0
9208,0
14431,0
12470,0
4978,1
3684,0
1723,0
7954,0
15014,1
10632,0
10054,0
13556,0
1442,0
6905,0
12166,2
2786,2
825,2
5207,1
11734,0
8749,0
14980,0
13275,0
2098,0
137,0
6624,0
7751,0
5790,0
10429,0
9835,0
14105,0
3184,0
1239,0
7470,0
5509,0
622,2
11515,0
9554,0
12800,0
2919,0
958,0
6165,0
4460,0
12098,1
11234,0
3502,1
8249,0
14480,0
3749,0
7251,0
7658,2
4673,2
7587,2
12064,0
10119,0
13621,0
739,0
6970,0
5009,0
12757,1
9687,2
6353,2
3036,2
10775,0
9070,0
12316,0
2419,0
1569,0
6111,0
10750,0
11861,0
9900,0
3249,0
1288,0
6767,0
2385,1
4806,0
856,2
11580,0
9619,0
13121,0
2968,0
255,0
6486,0
4525,0
15233,2
406,2
3663,2
10275,0
14801,0
4070,0
1085,0
5611,0
11793,2
4738,2
9400,0
15647,0
12918,0
2765,0
5170,1
6267,0
4306,0
1051,1
6418,2
11080,0
9135,0
12637,0
2484,0
3595,0
1890,0
8121,0
5136,0
8518,2
10221,0
13467,0
585,0
6816,0
4871,0
3817,1
8916,0
1168,1
13186,0
15147,0
304,0
7918,0
5957,0
5093,1
8069,2
2023,2
10596,0
8635,0
9746,0
14272,0
3111,0
1406,0
7637,0
4652,0
11426,0
9721,0
14928,0
12983,0
101,0
6332,0
4371,0
5738,0
2213,2
8035,2
8416,0
11145,0
12702,0
13822,1
3916,0
1955,0
7418,0
5457,0
67,1
14069,0
14663,0
9879,2
10960,1
12247,0
9262,0
15493,0
13788,0
2611,0
7137,0
4152,0
11806,1
8981,0
14444,0
12483,0
6022,0
10661,0
12028,0
10067,0
3416,0
1471,0
6678,0
1718,3
7949,1
11747,0
8762,0
1030,1
13288,0
2127,0
166,0
6653,0
7764,0
5803,0
1437,1
14993,0
4939,1
10442,0
14134,0
3981,0
1252,0
7483,0
5522,0
6619,1
13517,2
11272,0
9583,0
12829,0
2932,0
4473,0
2244,2
11263,0
8278,0
14509,0
12548,0
5056,1
3762,0
1801,0
7264,0
5319,0
13915,0
2210,1
4631,2
10132,0
12093,0
13634,0
752,0
6999,0
14475,1
15595,0
10788,0
9083,0
2176,0
487,0
1598,0
7829,0
3463,1
6124,0
6965,1
15243,4
3966,2
10507,0
9913,0
13431,0
3278,0
1317,0
6780,0
4819,0
4202,2
14592,1
11593,0
9632,0
14855,0
13150,0
12,0
4538,0
5649,0
13397,1
4785,1
10288,0
14830,0
4083,0
1098,0
15077,1
5624,0
9861,2
3395,2
9429,0
15660,0
13699,0
2778,0
817,0
4335,0
11109,0
9148,0
14355,0
12650,0
2497,0
4918,1
1919,0
8150,0
9827,2
11939,0
10234,0
6598,1
13480,0
3343,0
614,0
6845,0
4884,0
9361,2
15441,0
11658,0
8929,0
15160,0
13215,0
2294,0
333,0
6564,0
3565,1
5970,0
2036,2
10609,0
8648,0
9775,0
14301,0
3124,0
7650,0
4665,0
12056,2
9343,2
546,2
9494,0
14957,0
12996,0
2843,0
114,0
5248,1
4384,0
6345,0
2226,2
12308,2
11174,0
8445,0
14676,0
12715,0
13826,0
3929,0
1968,0
7191,0
5486,0
14923,1
9892,2
12260,0
9275,0
15506,0
13801,0
7166,0
9682,2
9611,2
10955,0
8994,0
14457,0
12496,0
1765,0
6035,0
7308,2
10674,0
10080,0
11785,0
3445,0
1484,0
6691,0
2325,1
9392,2
15022,0
13061,0
179,0
6410,0
5816,0
6657,1
12876,1
5128,2
14741,0
14147,0
3994,0
1265,0
7496,0
3377,2
13459,2
11301,0
12842,0
2689,0
4246,0
8291,0
14522,0
12561,0
3791,0
1830,0
7293,0
5332,0
9809,2
4644,2
10145,0
15608,0
13663,0
3510,0
525,0
5051,0
6324,2
8840,0
12358,0
2205,0
500,0
1611,0
7842,0
747,1
5017,1
3908,2
10520,0
3044,1
9942,0
11903,0
14212,0
3291,0
1330,0
7561,0
4832,0
9325,2
12054,2
713,2
13780,2
11622,0
9661,0
14868,0
13163,0
11869,1
25,0
6512,0
4567,0
7975,2
8356,0
10317,0
14843,0
13993,0
7358,0
7,1
9874,2
14402,1
9442,0
15673,0
13712,0
2807,0
5212,1
7077,0
4348,0
2119,2
11122,0
9161,0
14368,0
2526,0
3637,0
1676,0
8163,0
11369,1
11952,0
380,1
10007,0
13509,0
3356,0
627,0
6858,0
4897,0
15470,0
963,2
11687,0
8958,0
15189,0
13228,0
346,0
6577,0
7688,0
5999,0
13907,2
10382,0
9788,0
3137,0
1176,0
7679,0
4694,0
6991,2
9507,0
2856,0
6374,0
4413,0
10780,2
11187,0
8202,0
14689,0
12728,0
4996,1
3958,0
1997,0
7204,0
5499,0
8609,2
13855,0
12273,0
9288,0
15535,0
13574,0
2653,0
1963,1
9624,2
9023,0
15254,0
12525,0
2372,0
411,0
1778,0
8009,0
6048,0
10703,0
11814,0
10109,0
13355,0
1497,0
4759,0
7040,2
4327,2
11533,0
15035,0
13074,0
192,0
6439,0
7806,0
5845,0
4981,1
14347,2
10484,0
8523,0
14754,0
11755,1
4023,0
1038,0
7525,0
5564,0
14160,0
6405,1
11931,2
11314,0
12871,0
2718,0
1013,0
4259,0
2101,2
7923,2
8304,0
11033,0
12590,0
5098,1
3804,0
1843,0
8074,0
14551,0
7457,2
12135,0
10174,0
15381,0
11015,1
3523,0
538,0
13676,0
945,2
2835,2
10830,0
8869,0
15356,0
12371,0
2218,0
257,0
1624,0
7871,0
5910,0
12101,1
10549,0
9955,0
14225,0
3304,0
1359,0
7590,0
4861,0
9338,2
12337,1
11635,0
9674,0
1942,1
13176,0
3039,0
54,0
6285,0
4580,0
5691,0
13439,1
14881,0
2351,2
7988,2
8369,0
10330,0
14600,0
14022,0
1140,0
7371,0
5410,0
10737,2
9471,0
13741,0
859,0
7090,0
4105,0
2132,2
10895,0
9190,0
14397,0
12436,0
4944,1
2539,0
1689,0
3650,0
8573,2
13954,2
10020,0
15483,0
3369,0
1408,0
6887,0
15634,2
5173,1
976,2
6199,2
11700,0
8715,0
15202,0
13241,0
375,0
7717,0
6012,0
10395,0
8690,0
9801,0
14087,0
1205,0
7436,0
4707,0
3573,2
7004,2
11481,0
13038,0
2885,0
5290,1
4426,0
8832,2
15582,1
11200,0
3468,1
8231,0
14718,0
13868,0
3715,0
2010,0
7217,0
14965,1
12046,0
458,1
15548,0
13587,0
2666,0
705,0
6936,0
4223,0
13155,2
4559,2
9036,0
10997,0
12538,0
13402,1
424,0
1551,0
13809,1
6077,0
15082,1
10716,0
11827,0
10963,1
3231,0
1526,0
5636,1
4772,0
6733,0
653,2
2799,2
11546,0
8817,0
7316,1
2950,0
221,0
6452,0
4491,0
5858,0
13103,0
6699,1
8536,0
14783,0
14189,0
4036,0
7538,0
5577,0
11343,0
9382,0
12884,0
2731,0
770,0
6233,0
4272,0
11062,0
3570,1
9101,0
12603,0
2450,0
14564,0
1856,0
8103,0
5374,0
10187,0
15394,0
13689,0
3536,0
6798,0
974,2
903,2
10843,0
8882,0
15113,0
12384,0
2247,0
286,0
1653,0
7884,0
5923,0
5059,1
10562,0
9968,0
14254,0
3077,0
1372,0
7603,0
4618,0
6986,2
9703,0
12949,0
6298,0
4593,0
5704,0
10359,0
8398,0
14629,0
3882,0
1921,0
7384,0
5439,0
11877,2
9228,0
1736,1
2577,0
14595,1
7119,0
4134,0
6502,2
10908,0
9203,0
14410,0
12449,0
2552,0
3679,0
5220,0
10627,0
11994,0
10033,0
13551,0
3398,0
6900,0
12431,1
6212,2
8728,0
132,0
7730,0
5769,0
8137,2
10408,0
8463,0
9830,0
6178,1
11695,1
3179,0
1218,0
7449,0
14100,0
6585,1
11510,0
13051,0
2898,0
6144,0
4455,0
11229,0
8244,0
12770,0
5038,1
3728,0
13881,0
7246,0
5285,0
8580,2
12059,0
13600,0
734,0
10754,0
9049,0
12311,0
2414,0
453,0
1564,0
6090,0
11840,0
9895,0
3244,0
1283,0
6746,0
2812,2
11575,0
9614,0
13980,1
13116,0
2963,0
234,0
6465,0
4504,0
5887,0
2346,2
11390,1
10270,0
14796,0
14202,0
4049,0
15043,1
7311,0
5606,0
9395,0
15626,0
12897,0
2744,0
799,0
6262,0
4301,0
6413,2
2056,2
11075,0
9114,0
14577,0
12616,0
2479,0
1885,0
8116,0
11905,0
10200,0
13462,0
6811,0
9512,2
15213,4
10856,0
8911,0
15142,0
12413,0
2260,0
299,0
6530,0
7897,0
5936,0
3963,2
8630,0
9741,0
3090,0
1385,0
4647,0
12109,2
6928,2
11421,0
9716,0
12962,0
3065,0
6327,0
4366,0
5733,0
11140,0
2624,1
8411,0
12681,0
14642,0
3911,0
1950,0
3047,1
5452,0
12226,0
398,1
9241,0
2606,0
7132,0
4147,0
10921,0
8960,0
13342,1
12478,0
4986,1
3692,0
1731,0
7962,0
5233,0
14439,0
8528,2
11760,1
4028,2
10062,0
10903,1
13564,0
1450,0
2794,2
833,2
5215,1
11742,0
8757,0
14988,0
13283,0
2106,0
145,0
7759,0
5798,0
10437,0
14113,0
1247,0
7478,0
5517,0
11020,1
559,2
11267,0
13928,1
12808,0
2927,0
966,0
6173,0
4468,0
1213,1
2054,2
11242,0
8257,0
12799,0
13910,0
3757,0
1796,0
7259,0
10369,2
15405,4
10127,0
15590,0
13629,0
3476,0
6978,0
9510,2
898,2
10783,0
9078,0
15309,0
12324,0
2427,0
466,0
1577,0
7808,0
6119,0
4999,1
5502,2
7376,2
3010,1
9908,0
10502,0
3257,0
1296,0
5678,1
4814,0
6775,0
6926,2
864,2
11588,0
3840,1
9627,0
13129,0
2976,0
15090,0
4533,0
5644,0
6741,1
3671,2
10283,0
8322,0
14809,0
13975,0
4078,0
1093,0
7324,0
5619,0
3205,2
9408,0
15655,0
12926,0
2773,0
5178,1
15223,2
6426,2
9143,0
14350,0
12645,0
2492,0
3603,0
15621,1
8129,0
8526,2
3171,2
10229,0
15436,0
13475,0
3578,0
6824,0
4879,0
11653,0
8924,0
13194,0
2273,0
312,0
6559,0
7926,0
5965,0
5101,1
11468,1
14970,1
10604,0
8643,0
9754,0
3119,0
7645,0
4660,0
12051,2
541,2
11434,0
9473,0
14936,0
12991,0
2838,0
109,0
6340,0
4379,0
5746,0
11153,0
8424,0
14671,0
12710,0
4194,1
3924,0
5465,0
75,1
9887,2
12255,0
9270,0
15501,0
2619,0
658,0
7145,0
10950,0
8989,0
14452,0
6704,1
2338,0
3705,0
1744,0
12491,0
6030,0
10669,0
11780,0
10075,0
13321,0
1479,0
6686,0
862,2
791,2
8770,0
15001,0
2135,0
174,0
7772,0
5811,0
1445,1
10882,2
4947,1
3653,2
10450,0
8489,0
14720,0
6220,1
14142,0
3989,0
1260,0
7491,0
5530,0
6627,1
4913,2
572,2
6803,2
11280,0
12837,0
6186,0
4225,0
8286,0
12556,0
5064,1
13923,0
1809,0
7272,0
5327,0
10398,2
10140,0
15603,0
13642,0
3489,0
7007,0
5046,0
6390,2
8835,0
2184,0
495,0
1606,0
7837,0
3471,1
6132,0
8403,2
10515,0
9921,0
3286,0
1325,0
7556,0
4827,0
11601,0
9640,0
14863,0
13158,0
3005,0
20,0
5657,0
8025,2
10296,0
8351,0
14838,0
13988,0
4091,0
1106,0
7337,0
9869,2
12015,2
3403,2
9437,0
8176,1
13707,0
7056,0
4343,0
11117,0
9156,0
14363,0
12658,0
2505,0
3616,0
1671,0
4926,1
8158,0
8468,2
11947,0
9986,0
6606,1
13488,0
3351,0
14585,1
6853,0
15449,0
9369,2
3166,1
8937,0
13223,0
2302,0
341,0
6572,0
7683,0
5978,0
15168,0
2044,2
10617,0
8656,0
9783,0
14309,0
3132,0
1171,0
15397,2
11463,0
9502,0
13004,0
2851,0
122,0
5256,1
4392,0
1393,1
8056,2
8197,0
11182,0
12723,0
13834,0
3937,0
1976,0
7199,0
5494,0
14684,0
12268,0
9283,0
15514,0
2632,0
6918,0
4189,0
9002,0
12504,0
2367,0
1773,0
6043,0
13967,2
5426,2
15048,1
10682,0
10088,0
3453,0
1492,0
5241,1
804,2
15030,0
13069,0
12031,1
187,0
7785,0
5824,0
6665,1
10479,0
14749,0
14155,0
4002,0
1273,0
7504,0
5559,0
153,1
3385,2
11309,0
12850,0
2697,0
4254,0
6551,2
11028,0
8299,0
14530,0
12569,0
13936,0
3799,0
1838,0
9817,2
12114,0
10153,0
15360,0
13671,0
3518,0
533,0
2901,2
10809,0
8848,0
15351,0
12366,0
1619,0
7850,0
5889,0
5025,1
2026,2
11392,1
14910,1
10528,0
3052,1
9950,0
14220,0
3299,0
1338,0
7569,0
9333,2
11630,0
9669,0
14876,0
13171,0
3018,0
33,0
4575,0
5686,0
7983,2
10325,0
13754,1
14001,0
3848,0
1135,0
7366,0
5405,0
9882,2
12179,0
9450,0
13720,0
2815,0
854,0
7085,0
4100,0
1101,1
11130,0
9169,0
14376,0
2534,0
3645,0
1684,0
10257,2
11377,1
9848,2
13270,1
10015,0
15478,0
3364,0
635,0
6866,0
4905,0
971,2
8710,0
15197,0
13236,0
4720,1
354,0
7696,0
6007,0
13483,1
5134,2
10390,0
8685,0
9796,0
14322,0
3145,0
1184,0
2281,1
4702,0
11476,0
9515,0
13017,0
2864,0
6382,0
4421,0
11195,0
8210,0
14697,0
12736,0
5004,1
13863,0
2005,0
7212,0
5251,0
12281,0
9296,0
15543,0
13582,0
2661,0
700,0
6931,0
6499,2
10976,0
9031,0
15262,0
12533,0
2380,0
419,0
1786,0
8017,0
6056,0
8343,2
11822,0
13363,0
3210,0
1505,0
6712,0
4767,0
385,1
12229,2
13770,2
7048,2
11541,0
8812,0
1064,1
13082,0
2161,0
200,0
6447,0
4486,0
5853,0
13329,1
4989,1
11356,1
3608,2
10492,0
8531,0
14762,0
14168,0
4031,0
1046,0
7533,0
5572,0
10049,2
12010,2
15009,1
3590,1
12879,0
2726,0
1021,0
6228,0
4267,0
7931,2
8312,0
11041,0
12598,0
2445,0
3812,0
1851,0
5106,1
5353,0
8082,0
9846,2
14559,0
7465,2
12143,0
10182,0
15389,0
13684,0
7033,0
11270,2
953,2
10838,0
8877,0
15108,0
