stu,skill,crtRatio
1799,61,1.0
1615,84,1.0
30,84,1.0
108,96,0.0
2031,61,0.4
7,120,1.0
349,73,0.6
224,53,1.0
588,41,0.0
3287,48,1.0
1285,38,0.45454545454545453
3267,118,1.0
38,27,0.8333333333333334
84,115,1.0
2279,91,0.9090909090909091
2078,51,1.0
2376,119,0.23076923076923078
2146,91,0.5
3281,51,0.8666666666666667
1447,107,0.6
37,75,1.0
1245,84,0.5
2433,52,1.0
3317,51,1.0
2852,74,1.0
573,91,0.3333333333333333
2930,74,0.0
2580,26,0.0
2132,111,1.0
2735,2,1.0
889,85,0.0
453,90,0.75
573,84,0.8
3326,96,0.75
3316,19,0.0
167,28,0.6666666666666666
967,96,0.6
1207,19,1.0
2047,58,1.0
900,119,0.75
1401,22,1.0
105,87,0.8
3305,44,1.0
3297,1,0.6
2501,86,0.0
1196,26,0.0
332,97,0.3333333333333333
2330,91,0.3333333333333333
2091,18,0.6666666666666666
30,26,0.0
2355,119,0.75
3310,34,0.5
2073,120,1.0
146,119,1.0
1195,112,1.0
2009,59,0.8461538461538461
2467,80,1.0
892,81,1.0
3259,28,0.8285714285714286
2341,72,0.14285714285714285
1992,5,1.0
228,47,0.5454545454545454
522,28,1.0
2072,119,0.75
258,22,0.8888888888888888
3266,112,1.0
267,114,1.0
1157,59,0.75
29,85,0.8
1484,38,0.0
2362,74,0.0
153,59,1.0
666,18,1.0
2042,15,1.0
908,29,0.9333333333333333
3007,119,1.0
1525,119,1.0
457,54,1.0
3320,111,1.0
185,61,0.0
1471,74,0.8333333333333334
3293,30,1.0
601,2,0.6666666666666666
180,79,1.0
622,112,1.0
2691,54,1.0
2966,28,0.2222222222222222
139,80,0.8
446,27,0.66
456,27,0.7575757575757576
2571,18,0.8571428571428571
3323,65,1.0
2170,120,0.25925925925925924
1999,119,1.0
931,54,1.0
253,15,1.0
621,96,0.4
3026,118,0.75
3268,49,0.8
565,109,0.75
2362,18,0.4230769230769231
258,6,1.0
1053,49,0.8333333333333334
252,47,0.75
2498,13,0.6666666666666666
74,100,1.0
1054,99,0.5714285714285714
1123,99,1.0
1558,53,0.0
1865,100,0.0
290,64,0.5
2033,93,1.0
257,96,0.75
3296,49,0.35
521,91,1.0
676,37,0.75
2322,51,0.42857142857142855
498,119,0.7142857142857143
265,79,0.6
1056,71,0.75
2597,49,0.8
2426,117,1.0
776,51,0.8
2470,121,1.0
2986,28,1.0
284,91,0.5
1662,28,0.2857142857142857
452,114,1.0
2218,37,0.9090909090909091
31,87,1.0
3315,22,1.0
335,74,1.0
1368,79,1.0
394,67,0.6
63,29,0.75
204,53,0.6666666666666666
24,96,0.0
566,67,0.0
1406,33,0.0
2355,18,0.875
269,29,1.0
175,73,1.0
2410,87,1.0
3284,29,0.47368421052631576
230,96,0.25
42,56,1.0
1068,81,1.0
258,68,0.75
1998,50,1.0
2330,54,0.6666666666666666
3276,1,1.0
2008,63,0.3333333333333333
2278,116,0.0
341,102,0.75
236,4,0.8571428571428571
1990,2,0.8333333333333334
169,85,0.7368421052631579
2339,112,0.0
407,119,0.6666666666666666
3263,67,0.7777777777777778
185,24,0.75
162,93,0.75
3303,84,1.0
1201,3,0.0
3019,118,0.75
68,105,0.0
1262,73,1.0
3266,116,0.9047619047619048
796,51,0.8888888888888888
264,76,1.0
176,18,0.8461538461538461
1614,90,0.5833333333333334
946,81,0.8333333333333334
2244,59,0.14285714285714285
57,93,1.0
2287,81,0.8888888888888888
2568,49,1.0
34,51,1.0
1311,79,0.6
1471,81,0.5714285714285714
334,15,1.0
760,52,1.0
1124,71,0.0
2218,108,1.0
2167,120,0.16666666666666666
714,93,1.0
107,0,1.0
1637,38,0.4
144,47,0.6666666666666666
2156,54,0.6875
151,79,1.0
257,3,0.0
744,18,1.0
146,38,0.6363636363636364
367,67,0.7142857142857143
886,84,0.25
162,96,1.0
2680,18,0.0
95,28,0.7777777777777778
205,118,0.5116279069767442
246,3,0.25
139,84,1.0
1417,28,0.0
439,16,1.0
2331,28,0.38095238095238093
180,71,0.5
3305,1,1.0
2743,99,0.6666666666666666
1042,91,0.42857142857142855
2635,37,0.8
464,107,0.5
3259,0,1.0
1619,0,0.1506849315068493
34,86,0.0
1293,112,0.8461538461538461
166,99,1.0
3264,96,0.6
146,61,1.0
493,91,0.8
878,85,0.3333333333333333
1240,47,0.5
2263,119,0.21428571428571427
3259,24,0.8888888888888888
239,48,1.0
2707,51,0.6666666666666666
1171,118,0.0
3172,118,1.0
18,120,0.0
261,113,0.5714285714285714
102,91,1.0
161,94,0.6
3093,18,0.8571428571428571
79,92,1.0
153,113,1.0
150,45,1.0
984,73,0.8
1257,51,0.5
27,62,0.6666666666666666
488,22,0.9230769230769231
1140,38,0.5
246,110,1.0
139,113,0.0
451,120,0.7272727272727273
249,63,0.7142857142857143
1597,28,0.0
2256,76,0.0
253,4,0.55
2251,18,0.8
157,114,1.0
1614,28,0.925
2046,53,1.0
3259,45,0.75
138,86,0.4489795918367347
2392,119,0.07692307692307693
2322,22,1.0
146,32,0.75
3072,18,0.5555555555555556
301,95,1.0
938,73,0.4666666666666667
1285,19,0.08333333333333333
2806,93,0.75
587,118,1.0
2218,17,0.5714285714285714
51,69,1.0
374,54,1.0
445,69,1.0
5,76,1.0
3220,14,0.0
241,94,1.0
2494,80,0.0
2961,37,0.6666666666666666
135,49,0.39285714285714285
1780,61,1.0
2122,54,1.0
363,61,0.5
3320,68,0.75
2814,50,0.9090909090909091
665,15,1.0
2005,37,0.8181818181818182
3270,4,0.75
2836,50,0.8571428571428571
3204,76,0.0
670,38,0.75
34,59,0.25
179,29,1.0
2410,66,1.0
2454,65,1.0
2905,49,0.9
2205,120,0.13333333333333333
1110,107,0.0
861,59,0.1
498,28,0.4
3253,79,1.0
445,3,0.0
1303,120,1.0
332,49,0.2
453,51,0.9166666666666666
137,72,0.8571428571428571
144,71,1.0
2942,50,0.6
676,18,1.0
3326,56,0.6666666666666666
140,62,1.0
3010,118,0.42857142857142855
577,109,0.5555555555555556
2461,117,1.0
3273,67,0.8333333333333334
262,50,0.75
520,119,1.0
2706,118,0.3888888888888889
937,29,1.0
3303,30,1.0
3303,65,1.0
2929,50,0.0
3302,21,0.5294117647058824
558,41,0.0
2117,95,1.0
3288,72,0.6410256410256411
86,56,0.6666666666666666
2920,71,0.6
2652,67,0.0
1500,18,1.0
1138,96,0.0
870,62,1.0
3259,74,0.9166666666666666
39,37,0.0
1585,79,0.75
2059,58,1.0
2178,53,0.3333333333333333
3321,49,0.7142857142857143
2989,18,1.0
3263,112,0.5
254,107,0.42105263157894735
857,4,0.8
1199,26,0.0
228,1,1.0
3275,12,1.0
3294,114,1.0
2279,38,0.7142857142857143
453,96,0.46153846153846156
3019,93,1.0
139,30,1.0
600,41,0.3333333333333333
1481,118,0.6666666666666666
1681,61,1.0
3325,6,1.0
165,120,0.8333333333333334
2474,2,0.8
3300,32,0.6
3282,117,1.0
235,29,1.0
122,69,1.0
3259,21,1.0
1504,20,0.05555555555555555
1614,62,0.6521739130434783
1477,15,0.75
164,64,0.6
1009,51,1.0
2070,119,1.0
3287,65,0.75
3099,73,1.0
2182,59,0.0
2315,118,0.4782608695652174
3286,66,1.0
2562,49,0.75
1410,59,1.0
2255,22,0.4
865,73,0.6666666666666666
150,48,1.0
40,91,1.0
457,97,1.0
2432,2,1.0
2706,119,0.0
1518,76,0.3333333333333333
250,29,1.0
250,114,1.0
3297,16,1.0
3307,97,0.9166666666666666
3274,69,1.0
2198,95,1.0
161,6,1.0
1541,53,0.0
296,105,0.0
3305,45,0.7142857142857143
796,68,0.75
89,120,0.0
2342,66,1.0
467,107,0.7142857142857143
3281,50,1.0
411,93,0.8333333333333334
3306,84,0.8571428571428571
3329,68,1.0
2283,99,0.0
1824,38,1.0
168,44,1.0
610,68,1.0
1284,96,1.0
239,15,0.0
1815,74,0.09090909090909091
145,24,0.9090909090909091
2007,74,1.0
1484,74,0.6666666666666666
751,76,1.0
1095,118,0.0
2164,95,0.0
3010,95,1.0
149,24,1.0
288,105,0.0
1482,25,1.0
674,74,0.0
3292,79,1.0
3292,16,1.0
758,114,1.0
2578,112,0.625
3269,44,1.0
3284,92,0.8571428571428571
61,118,0.45
89,62,1.0
864,118,0.75
621,91,1.0
2171,120,0.0
234,18,0.5
2387,76,1.0
1,119,0.5384615384615384
646,19,1.0
2115,23,0.0
2002,95,1.0
840,73,1.0
2922,91,0.5
742,28,1.0
183,119,1.0
965,91,0.6
3255,63,0.5714285714285714
3265,121,0.5
2561,52,1.0
1348,49,0.4
2006,15,1.0
3323,24,0.9
2558,49,1.0
100,99,1.0
1239,93,1.0
171,92,1.0
305,6,0.6
2799,93,0.75
3212,76,0.6
167,21,1.0
3148,73,0.8666666666666667
2469,2,1.0
34,4,1.0
283,0,0.5
11,91,1.0
2629,86,0.0
3314,92,1.0
244,94,1.0
1176,67,0.0
3287,73,1.0
569,18,0.25
3277,50,0.8666666666666667
1482,18,0.782608695652174
139,2,0.7272727272727273
263,1,0.6
333,2,0.75
3269,85,0.9090909090909091
259,86,0.48484848484848486
250,120,0.631578947368421
38,116,1.0
154,93,0.8461538461538461
350,96,0.47619047619047616
719,37,0.0
177,76,0.625
3318,103,1.0
183,49,0.5
760,38,0.4
1003,73,0.5
3323,23,0.6666666666666666
903,85,0.8888888888888888
957,47,0.0
256,48,1.0
1341,28,0.4
3297,24,0.75
419,118,0.7142857142857143
2754,16,0.14285714285714285
26,95,1.0
2203,54,0.42857142857142855
2946,74,0.7777777777777778
22,22,1.0
208,67,0.32
439,39,1.0
3325,76,1.0
2789,47,1.0
1210,3,0.0
1710,28,0.4
166,92,1.0
2768,93,0.0
143,0,1.0
3263,97,0.7857142857142857
3270,94,0.7142857142857143
254,59,0.5135135135135135
2044,116,0.0
574,6,0.0
3173,118,1.0
3263,47,1.0
3314,118,0.8333333333333334
470,81,0.8888888888888888
154,119,1.0
1203,112,1.0
159,59,0.9230769230769231
2381,76,1.0
2381,51,1.0
2716,18,0.0
2706,61,0.0
3297,37,1.0
269,59,0.47619047619047616
2929,91,0.5
282,99,0.3333333333333333
3274,112,1.0
2053,22,0.0
3266,72,0.5294117647058824
294,4,1.0
3295,121,0.5333333333333333
1995,58,0.75
90,84,1.0
161,76,1.0
105,30,0.8
2001,86,0.6
67,27,1.0
2656,116,0.0
3324,13,1.0
32,88,0.8
1812,91,0.0
818,19,1.0
3295,91,0.7692307692307693
485,118,0.9411764705882353
1052,84,0.35
259,80,1.0
2877,22,0.5
1055,121,0.0
1121,49,0.5555555555555556
678,93,1.0
149,67,0.8636363636363636
2010,76,0.6666666666666666
2960,15,1.0
106,48,0.5
3287,121,0.5384615384615384
1988,91,1.0
2841,93,0.7142857142857143
573,71,0.45454545454545453
475,118,0.8333333333333334
60,58,0.6875
2008,37,0.7692307692307693
195,51,1.0
266,65,1.0
1393,61,0.0
3268,73,0.4666666666666667
806,37,0.8666666666666667
1524,22,0.42857142857142855
2380,118,1.0
16,76,1.0
774,67,0.5
1507,111,0.6
3292,90,1.0
1187,11,0.75
567,86,0.0
146,23,0.8
3156,73,1.0
3324,16,0.5
244,61,0.5
2045,61,1.0
808,93,0.75
39,119,1.0
335,108,0.5384615384615384
3323,54,1.0
1486,15,1.0
3319,100,1.0
3319,15,1.0
1143,53,0.0
1026,47,1.0
142,97,0.6521739130434783
2038,27,0.95
3257,81,1.0
935,73,0.875
182,95,0.6666666666666666
205,96,0.0
918,28,0.9090909090909091
1589,54,1.0
331,87,0.6666666666666666
2840,74,0.6
3284,33,1.0
833,54,0.9
3329,95,0.8333333333333334
839,95,0.9166666666666666
104,87,1.0
851,73,0.5384615384615384
3307,79,0.6
1420,28,0.2222222222222222
3303,74,0.8260869565217391
1587,61,0.3333333333333333
79,85,0.8571428571428571
1504,71,1.0
3311,84,1.0
1633,2,0.47058823529411764
66,4,0.5
734,29,1.0
3306,17,0.6666666666666666
2961,74,0.0
155,15,1.0
849,4,0.8461538461538461
3288,95,0.7058823529411765
154,111,0.75
1285,18,0.8
65,87,0.8
547,2,0.5555555555555556
835,5,1.0
247,28,0.7021276595744681
159,4,1.0
3284,68,0.75
523,119,0.9090909090909091
1447,51,0.9375
3274,19,0.5
31,119,0.8888888888888888
443,51,1.0
953,118,0.5769230769230769
100,88,0.5
1149,67,0.0
1469,22,1.0
968,22,0.0
2982,28,0.5
1481,49,0.75
438,77,0.75
1478,55,0.8571428571428571
74,56,0.8666666666666667
10,119,1.0
3313,33,1.0
3327,23,0.6666666666666666
97,62,0.7222222222222222
2630,18,0.4
3322,80,0.6666666666666666
3278,38,0.8
83,119,1.0
154,45,1.0
154,66,1.0
2332,118,0.391304347826087
238,93,0.25
2142,91,0.5
2039,114,1.0
3320,110,0.6
205,67,0.0
1997,24,0.6666666666666666
889,29,0.9166666666666666
2687,62,1.0
2832,74,1.0
905,84,1.0
3293,80,0.14285714285714285
425,58,0.6071428571428571
253,111,0.7142857142857143
901,29,1.0
1253,79,1.0
325,113,0.4444444444444444
349,41,0.0
1469,59,0.0
1555,38,0.5
3324,22,0.6666666666666666
138,4,1.0
3279,45,0.75
461,85,1.0
806,13,0.0
2107,76,0.75
2004,63,1.0
3324,24,1.0
1822,38,0.5
673,18,0.75
2064,63,0.0
3263,18,0.5833333333333334
1186,59,0.625
231,54,1.0
1264,51,1.0
33,79,0.875
258,96,0.6
831,27,0.8235294117647058
1059,95,0.7
259,69,1.0
165,114,1.0
165,41,1.0
1285,100,1.0
2069,15,1.0
1116,64,0.5714285714285714
1617,95,1.0
2568,19,0.6666666666666666
2582,65,1.0
169,72,0.7272727272727273
3312,96,1.0
1988,29,1.0
458,119,0.6111111111111112
3308,62,1.0
331,91,0.3333333333333333
238,120,1.0
2581,64,0.5
3262,32,1.0
2057,97,0.6666666666666666
263,66,1.0
430,51,1.0
3296,69,1.0
2051,76,0.42857142857142855
1514,116,0.125
3269,95,1.0
2201,30,1.0
2465,121,0.4
160,16,1.0
1458,41,0.0
986,67,0.12
137,67,1.0
579,84,1.0
579,15,1.0
3308,41,0.8333333333333334
1247,118,0.375
3323,112,1.0
269,110,0.75
1999,38,1.0
94,96,0.0
2355,51,0.7142857142857143
865,95,0.6666666666666666
3257,15,1.0
36,22,0.7058823529411765
147,59,0.8888888888888888
1025,28,0.0
2975,59,0.2
182,121,0.23809523809523808
279,85,0.6
2048,120,1.0
82,28,0.8974358974358975
3329,93,0.9230769230769231
3284,60,1.0
249,107,0.75
475,22,1.0
36,99,0.8333333333333334
571,100,1.0
1104,118,0.14285714285714285
3279,64,0.5
2469,117,1.0
1154,66,1.0
3324,92,0.8571428571428571
18,89,0.7142857142857143
3269,91,0.9
248,100,1.0
2937,50,0.0
892,119,0.38333333333333336
498,73,0.9090909090909091
3268,18,1.0
2200,91,1.0
257,50,0.9
175,120,1.0
3272,28,0.6
243,48,0.0
250,121,0.5714285714285714
995,59,1.0
459,116,1.0
574,84,1.0
64,105,0.6666666666666666
2876,95,1.0
103,86,0.0
1998,99,1.0
252,99,1.0
1114,118,0.6
154,37,0.875
3295,103,1.0
3256,113,1.0
1507,120,0.75
2362,53,0.0
1053,45,0.0
3266,41,0.6666666666666666
2031,73,0.8888888888888888
489,119,1.0
2043,97,0.8
3285,17,0.7272727272727273
2300,111,1.0
2112,95,0.0
1197,19,0.5
264,29,1.0
1309,95,1.0
248,38,0.5
851,67,0.0
184,53,0.7692307692307693
231,62,0.0
1264,59,0.0
2229,4,0.0
3278,1,0.75
2468,52,1.0
1489,22,0.6
30,99,1.0
447,77,1.0
963,119,1.0
2264,84,1.0
337,50,1.0
283,116,0.5384615384615384
568,67,0.75
3321,64,0.6363636363636364
1508,28,0.75
3294,45,0.38461538461538464
3322,84,0.875
551,93,0.0
2402,18,0.8333333333333334
2405,100,1.0
2307,54,0.0
458,61,1.0
3290,84,0.8571428571428571
1225,26,0.0
2000,18,1.0
1302,118,0.9375
2852,93,1.0
872,118,0.7142857142857143
905,73,1.0
2997,119,0.75
2038,63,0.0
3314,50,0.9
26,46,0.0
185,100,1.0
291,28,0.7
3316,95,0.75
1052,108,0.75
3273,110,0.75
138,90,1.0
3279,103,0.75
2953,93,1.0
2139,76,1.0
302,17,1.0
2051,5,0.75
3319,38,0.5555555555555556
891,119,0.6774193548387096
3255,91,1.0
30,94,0.0
3328,32,0.8333333333333334
351,67,0.8
1993,37,0.6875
253,38,0.5
3300,61,0.75
165,111,1.0
42,5,0.5714285714285714
142,117,1.0
2218,16,0.0
565,84,1.0
3080,18,0.8
1992,73,1.0
151,22,0.9090909090909091
1990,33,0.6666666666666666
3271,29,0.6428571428571429
66,32,0.8
141,76,0.0
1967,22,0.9166666666666666
290,121,1.0
2345,56,0.6
286,51,1.0
2362,22,0.0
1053,112,0.75
2057,53,1.0
1053,95,0.8333333333333334
3307,73,0.8333333333333334
1479,22,1.0
1201,100,0.0
246,95,1.0
1999,108,0.8333333333333334
3298,22,0.8571428571428571
109,62,1.0
162,91,0.8
2848,93,0.2857142857142857
248,3,0.0
262,96,0.6
861,53,0.0
2066,97,0.8
302,44,0.75
2218,88,0.4
1498,41,0.8
279,107,0.75
2971,119,1.0
2037,37,0.8333333333333334
2345,18,1.0
169,67,0.875
573,67,0.4666666666666667
71,121,0.5
208,118,0.6666666666666666
878,73,0.75
426,84,0.8125
654,19,1.0
1708,85,0.6
2636,86,0.0
2082,118,0.7272727272727273
425,54,1.0
867,29,1.0
3308,37,0.6666666666666666
160,30,0.6666666666666666
46,89,0.75
1263,47,1.0
2290,62,0.0
104,4,1.0
1159,59,0.23076923076923078
1052,49,0.5
498,4,1.0
3009,118,1.0
3273,73,0.9375
1366,59,0.42105263157894735
254,90,0.8333333333333334
1524,118,1.0
1174,73,1.0
31,120,1.0
3272,76,0.6666666666666666
432,76,1.0
874,121,0.6666666666666666
248,30,1.0
2355,86,0.0
179,76,1.0
3300,18,0.9375
426,2,0.6
2942,62,1.0
258,0,0.75
1264,118,0.5384615384615384
1888,22,1.0
2466,80,0.5
264,37,0.7692307692307693
3256,4,1.0
1484,71,0.625
1306,119,1.0
3317,80,0.5
1141,74,1.0
779,51,0.6666666666666666
486,73,1.0
308,6,0.5
81,56,0.8888888888888888
2560,76,1.0
3309,114,0.3333333333333333
2005,77,1.0
330,27,1.0
648,18,0.8333333333333334
2943,37,0.8333333333333334
66,27,0.8
3264,72,0.6470588235294118
2162,59,0.0
1554,2,0.75
2401,41,1.0
1934,22,0.7692307692307693
2036,119,1.0
1993,61,1.0
3310,1,1.0
1124,3,0.0
224,51,1.0
1467,67,0.45
103,59,0.6666666666666666
3267,116,1.0
565,76,0.5
459,91,0.75
1246,79,1.0
287,99,1.0
188,118,0.6666666666666666
2390,28,0.23809523809523808
252,72,0.5
301,54,0.8333333333333334
1104,4,0.6666666666666666
2227,93,0.0
41,4,1.0
2898,18,1.0
37,77,1.0
3321,44,1.0
1484,106,1.0
2043,74,0.6666666666666666
3200,83,0.875
2144,95,0.6666666666666666
572,109,0.75
1169,67,0.0
241,61,0.27586206896551724
2416,65,1.0
68,87,1.0
1511,84,1.0
1801,85,0.4
442,27,0.8333333333333334
2,51,1.0
932,84,1.0
2139,54,1.0
417,118,0.5925925925925926
1754,85,1.0
2044,88,0.8571428571428571
1993,74,0.46153846153846156
169,91,1.0
827,51,0.8571428571428571
492,28,1.0
2563,28,1.0
254,74,0.7037037037037037
2105,91,0.0
3303,41,0.8888888888888888
258,37,0.8125
2205,22,0.7333333333333333
423,50,1.0
845,95,1.0
2591,3,0.0
3266,114,1.0
441,95,0.8
267,112,1.0
2362,76,0.0
173,76,1.0
3276,2,0.7272727272727273
428,73,0.9444444444444444
247,33,0.75
1619,34,0.4
2494,121,1.0
74,18,0.8333333333333334
254,22,0.6666666666666666
2122,95,0.0
1996,107,1.0
856,76,1.0
941,29,0.6
2925,37,0.875
3273,65,1.0
185,28,0.7368421052631579
1511,121,0.0
2581,21,0.38461538461538464
261,50,0.8571428571428571
3304,53,0.47058823529411764
2,27,0.7272727272727273
2995,74,1.0
63,81,1.0
3098,119,0.14285714285714285
2901,50,1.0
145,32,0.7
2258,119,0.7142857142857143
2003,108,1.0
1831,28,0.875
3319,112,0.6666666666666666
3277,66,1.0
3277,41,1.0
42,71,0.5
190,118,0.8571428571428571
1016,59,0.5833333333333334
206,53,0.14285714285714285
2695,84,1.0
252,45,0.75
3299,48,0.75
1506,16,0.16666666666666666
3266,48,0.25
184,58,0.3333333333333333
2372,51,1.0
162,49,0.6
2100,4,0.0
1471,120,1.0
163,2,0.75
241,18,1.0
857,59,0.6666666666666666
457,45,0.0
101,84,1.0
182,120,0.7142857142857143
317,119,0.75
456,113,1.0
571,51,1.0
2037,15,1.0
452,112,1.0
1478,25,1.0
507,59,0.25
1206,22,0.75
3008,59,0.0
24,30,0.75
2597,2,0.8888888888888888
30,49,0.5
459,67,0.631578947368421
1299,84,1.0
944,85,0.0
309,28,0.5555555555555556
85,118,1.0
3310,121,0.75
184,64,0.42857142857142855
2060,53,1.0
136,18,1.0
3256,120,0.7777777777777778
3323,67,0.8695652173913043
84,47,0.6666666666666666
2105,54,0.0
84,105,0.0
3255,90,0.7
1004,0,0.375
390,51,1.0
2278,118,0.75
257,79,1.0
448,107,0.7142857142857143
3327,121,0.75
795,118,0.5454545454545454
163,68,1.0
850,5,0.5833333333333334
3006,87,0.6666666666666666
185,26,0.0
73,99,0.6666666666666666
3326,29,1.0
236,22,1.0
3283,107,1.0
456,108,0.875
253,92,0.8888888888888888
3260,69,1.0
2295,112,0.0
264,74,1.0
1478,4,0.75
2472,65,1.0
2587,99,1.0
3284,86,0.391304347826087
171,74,0.8
1173,19,1.0
2543,61,0.0
30,79,0.8571428571428571
30,44,1.0
2002,85,0.8571428571428571
1289,38,0.0
156,86,0.5
659,26,0.0
3328,2,0.8571428571428571
1056,118,0.6
577,5,1.0
442,61,0.3333333333333333
2055,119,1.0
451,76,0.8235294117647058
3319,116,0.6
3276,91,0.8333333333333334
1367,84,1.0
2132,120,1.0
244,93,0.8
247,74,0.4411764705882353
150,116,0.9285714285714286
2047,114,1.0
820,18,0.875
902,119,0.9047619047619048
1511,30,1.0
25,91,1.0
356,67,0.1111111111111111
2581,91,0.7777777777777778
3319,103,0.6
254,116,0.9047619047619048
1290,66,0.0
235,54,1.0
3282,49,1.0
1719,24,0.75
2489,18,0.6
1680,85,0.5
2564,112,0.5
964,84,0.375
1467,8,0.0
471,51,0.8461538461538461
542,74,1.0
258,107,0.75
1992,54,1.0
5,4,0.8
1284,73,0.0
577,91,0.5
103,17,0.5294117647058824
146,50,0.8235294117647058
227,85,0.6818181818181818
709,38,1.0
173,18,1.0
797,33,0.7777777777777778
1011,29,0.7142857142857143
2198,54,0.8
2498,117,1.0
241,26,0.0
3288,33,0.75
247,107,0.75
389,85,0.5
2042,28,1.0
831,5,0.75
1089,4,1.0
457,37,1.0
1334,91,0.5
448,96,0.6
453,119,1.0
262,19,0.5
2076,95,0.0
2377,84,0.8
113,112,1.0
362,85,0.0
1918,22,0.8333333333333334
180,88,1.0
888,119,0.4166666666666667
2685,28,0.0
2046,108,1.0
3291,116,0.8571428571428571
577,96,0.3888888888888889
1513,95,1.0
3303,49,0.8888888888888888
1994,85,0.6666666666666666
189,85,0.5
26,87,0.5384615384615384
1,62,1.0
1992,93,0.8
333,118,0.6666666666666666
3281,118,1.0
218,85,0.5714285714285714
927,119,1.0
2060,61,0.5
3277,111,1.0
536,85,0.5
2344,33,0.0
336,110,0.5
3306,32,0.8333333333333334
3328,51,0.8666666666666667
1008,73,1.0
145,4,1.0
2069,120,1.0
1484,15,0.6666666666666666
2049,73,1.0
1145,22,0.75
3308,69,1.0
426,41,0.6
770,49,0.0
865,84,0.8571428571428571
2112,119,0.8
241,7,1.0
3288,99,1.0
69,96,0.0
3305,54,0.8888888888888888
3265,80,1.0
156,95,0.7272727272727273
308,112,1.0
1516,79,0.75
1542,53,0.3
3225,119,0.8571428571428571
3329,63,0.6
238,27,0.3333333333333333
1056,15,0.5
520,51,0.875
2026,50,0.8
185,49,0.2
759,13,0.0
456,11,1.0
456,100,1.0
2334,97,0.2857142857142857
2896,49,1.0
3315,78,1.0
1997,74,0.6923076923076923
245,0,1.0
335,37,1.0
3283,37,0.9166666666666666
1619,22,0.5
2190,54,0.6
2103,76,1.0
179,27,1.0
618,6,0.6
621,112,1.0
420,2,0.6190476190476191
301,31,0.5
460,99,1.0
513,28,0.3333333333333333
440,73,1.0
3254,64,0.75
107,22,0.5
1481,85,0.4
140,76,0.6
2344,37,0.5714285714285714
2137,118,1.0
3276,50,1.0
378,84,0.75
867,84,0.8333333333333334
3253,65,1.0
96,95,1.0
887,85,0.0
2473,85,0.7777777777777778
73,28,1.0
144,69,1.0
140,91,1.0
3265,61,0.0
2006,67,1.0
3326,48,1.0
1998,58,0.8333333333333334
2287,67,0.5714285714285714
2426,64,0.75
78,114,0.75
228,120,0.8
35,67,0.75
3309,63,0.6
453,107,0.7272727272727273
12,22,0.75
260,62,0.6666666666666666
261,30,1.0
703,37,1.0
38,22,0.8461538461538461
2472,52,1.0
570,95,1.0
261,23,0.7142857142857143
